ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
MF,GO:0052742,phosphatidylinositol kinase activity,0.005239664,NA,NA,NA,NA,NA
CC,GO:0034708,methyltransferase complex,0.005491582,NA,NA,NA,NA,NA
BP,GO:0001736,establishment of planar polarity,0.005533951,NA,0.047190813,NA,NA,NA
BP,GO:0019321,pentose metabolic process,0.005533951,NA,NA,NA,NA,NA
BP,GO:0061550,cranial ganglion development,0.005533951,0.026013561,NA,NA,NA,NA
BP,GO:0090110,COPII-coated vesicle cargo loading,0.005533951,NA,0.047190813,NA,NA,NA
BP,GO:0006661,phosphatidylinositol biosynthetic process,0.005573464,NA,NA,NA,NA,NA
BP,GO:0016079,synaptic vesicle exocytosis,0.005573464,NA,0.0173236,NA,NA,NA
MF,GO:0005078,MAP-kinase scaffold activity,0.005614803,2.47878e-4,0.004410631,NA,NA,NA
MF,GO:0005545,1-phosphatidylinositol binding,0.005614803,0.002979457,0.004410631,NA,NA,NA
MF,GO:0032050,clathrin heavy chain binding,0.005614803,2.47878e-4,0.004410631,NA,NA,NA
BP,GO:0072384,organelle transport along microtubule,0.005670051,NA,0.017824741,NA,NA,NA
MF,GO:0050839,cell adhesion molecule binding,0.00571008,4.4757e-4,7.46e-5,NA,NA,NA
CC,GO:0043197,dendritic spine,0.005842909,1.3327e-4,0.005705429,NA,NA,NA
CC,GO:0044309,neuron spine,0.005842909,1.3327e-4,0.005705429,NA,NA,NA
MF,GO:0005452,solute:inorganic anion antiporter activity,0.006083671,NA,NA,NA,NA,NA
MF,GO:0106310,protein serine kinase activity,0.006116649,NA,NA,NA,NA,NA
BP,GO:0048920,posterior lateral line neuromast primordium migration,0.006118056,0.032467447,NA,NA,NA,NA
CC,GO:0016328,lateral plasma membrane,0.00611997,NA,NA,NA,NA,NA
CC,GO:0031965,nuclear membrane,0.006148045,0.030256271,0.005491622,NA,NA,NA
MF,GO:0004683,calcium/calmodulin-dependent protein kinase activity,0.00626629,4.60141e-4,NA,NA,NA,NA
BP,GO:0051452,intracellular pH reduction,0.006387701,NA,NA,NA,NA,NA
