ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
CC,GO:0016342,catenin complex,NA,NA,0.03631046,NA,NA,NA
BP,GO:0010977,negative regulation of neuron projection development,NA,NA,0.037157052,NA,NA,NA
BP,GO:0042490,mechanoreceptor differentiation,NA,NA,0.03751243,NA,NA,NA
BP,GO:0048872,homeostasis of number of cells,NA,NA,0.038572585,0.02872269,NA,0.003950173
MF,GO:0005343,organic acid:sodium symporter activity,NA,NA,0.039072009,NA,NA,NA
BP,GO:0043542,endothelial cell migration,NA,NA,0.039873731,0.018540531,NA,NA
BP,GO:0060119,inner ear receptor cell development,NA,NA,0.039873731,NA,NA,NA
BP,GO:0007626,locomotory behavior,NA,NA,0.039901171,NA,NA,NA
BP,GO:0042476,odontogenesis,NA,NA,0.04167349,NA,NA,NA
BP,GO:0048854,brain morphogenesis,NA,NA,0.04167349,NA,NA,NA
MF,GO:0003774,cytoskeletal motor activity,NA,NA,0.041805776,NA,NA,NA
BP,GO:0050974,detection of mechanical stimulus involved in sensory perception,NA,NA,0.041917486,NA,NA,NA
BP,GO:1901342,regulation of vasculature development,NA,NA,0.044884237,0.024687006,NA,NA
BP,GO:0001838,embryonic epithelial tube formation,NA,NA,0.045312395,NA,NA,NA
CC,GO:0005640,nuclear outer membrane,NA,NA,0.045811902,NA,NA,NA
CC,GO:0005943,"phosphatidylinositol 3-kinase complex, class IA",NA,NA,0.045811902,NA,NA,NA
BP,GO:0035107,appendage morphogenesis,NA,NA,0.045948365,NA,NA,NA
BP,GO:0006813,potassium ion transport,NA,NA,0.046208349,NA,NA,NA
BP,GO:0051216,cartilage development,NA,NA,0.046468174,1.82252e-4,0.00318858,NA
MF,GO:0004656,procollagen-proline 4-dioxygenase activity,NA,NA,0.046714814,NA,NA,NA
MF,GO:0015269,calcium-activated potassium channel activity,NA,NA,0.046714814,NA,NA,NA
BP,GO:0040037,negative regulation of fibroblast growth factor receptor signaling pathway,NA,NA,0.046967944,0.004172276,0.015672577,NA
BP,GO:0048264,determination of ventral identity,NA,NA,0.046967944,NA,NA,NA
BP,GO:0003348,cardiac endothelial cell differentiation,NA,NA,0.047190813,NA,NA,NA
BP,GO:0014808,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,NA,NA,0.047190813,NA,NA,NA
BP,GO:0031116,positive regulation of microtubule polymerization,NA,NA,0.047190813,NA,NA,NA
BP,GO:0032878,regulation of establishment or maintenance of cell polarity,NA,NA,0.047190813,NA,NA,NA
BP,GO:0050910,detection of mechanical stimulus involved in sensory perception of sound,NA,NA,0.047190813,NA,NA,NA
BP,GO:0060956,endocardial cell differentiation,NA,NA,0.047190813,NA,NA,NA
BP,GO:0070296,sarcoplasmic reticulum calcium ion transport,NA,NA,0.047190813,NA,NA,NA
BP,GO:1903514,release of sequestered calcium ion into cytosol by endoplasmic reticulum,NA,NA,0.047190813,NA,NA,NA
BP,GO:1904396,regulation of neuromuscular junction development,NA,NA,0.047190813,NA,NA,NA
CC,GO:0001726,ruffle,NA,NA,0.047696906,NA,NA,NA
BP,GO:0035082,axoneme assembly,NA,NA,0.048212781,NA,0.038528935,NA
BP,GO:0040013,negative regulation of locomotion,NA,NA,0.048725809,NA,NA,NA
BP,GO:0060070,canonical Wnt signaling pathway,NA,NA,0.049202065,0.031368291,NA,NA
CC,GO:0098798,mitochondrial protein-containing complex,NA,NA,NA,9.12e-19,8.93e-9,NA
CC,GO:0000313,organellar ribosome,NA,NA,NA,4.62e-16,3.11e-7,NA
CC,GO:0005761,mitochondrial ribosome,NA,NA,NA,4.62e-16,3.11e-7,NA
CC,GO:0005740,mitochondrial envelope,NA,NA,NA,1.24e-15,2.36e-6,NA
CC,GO:0031966,mitochondrial membrane,NA,NA,NA,1.74e-13,2.13e-6,NA
CC,GO:0005759,mitochondrial matrix,NA,NA,NA,2.95e-13,2.83979e-4,NA
BP,GO:0006412,translation,NA,NA,NA,6.27e-12,2.47e-8,NA
BP,GO:0022613,ribonucleoprotein complex biogenesis,NA,NA,NA,2.78e-11,1.39e-8,NA
CC,GO:0005743,mitochondrial inner membrane,NA,NA,NA,1.11e-10,6.8e-5,NA
CC,GO:0005840,ribosome,NA,NA,NA,3.28e-10,6.31e-9,NA
BP,GO:0042254,ribosome biogenesis,NA,NA,NA,3.63e-10,1.47e-7,NA
CC,GO:0000502,proteasome complex,NA,NA,NA,1.59e-9,0.00529745,NA
CC,GO:0019866,organelle inner membrane,NA,NA,NA,3.54e-9,2.50224e-4,NA
CC,GO:0000315,organellar large ribosomal subunit,NA,NA,NA,5.55e-9,2.57581e-4,NA
CC,GO:0005762,mitochondrial large ribosomal subunit,NA,NA,NA,5.55e-9,2.57581e-4,NA
CC,GO:0098803,respiratory chain complex,NA,NA,NA,6.65e-9,0.00171104,NA
BP,GO:0009117,nucleotide metabolic process,NA,NA,NA,1.23e-8,0.011700101,NA
CC,GO:1905368,peptidase complex,NA,NA,NA,4.19e-8,0.001362579,NA
CC,GO:0000314,organellar small ribosomal subunit,NA,NA,NA,4.35e-8,5.46406e-4,NA
CC,GO:0005763,mitochondrial small ribosomal subunit,NA,NA,NA,4.35e-8,5.46406e-4,NA
BP,GO:0006091,generation of precursor metabolites and energy,NA,NA,NA,6.4e-8,0.005289322,NA
BP,GO:0009141,nucleoside triphosphate metabolic process,NA,NA,NA,6.41e-8,NA,NA
MF,GO:0003735,structural constituent of ribosome,NA,NA,NA,8.07e-8,2.07e-7,NA
CC,GO:1905369,endopeptidase complex,NA,NA,NA,1.08e-7,0.00856645,NA
BP,GO:0006753,nucleoside phosphate metabolic process,NA,NA,NA,1.77e-7,NA,NA
BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,NA,NA,NA,2.77e-7,0.011018649,NA
BP,GO:0032543,mitochondrial translation,NA,NA,NA,3.97e-7,8.59e-8,NA
BP,GO:0045333,cellular respiration,NA,NA,NA,4.16e-7,0.0127384,NA
BP,GO:0006119,oxidative phosphorylation,NA,NA,NA,4.39e-7,0.01177679,NA
BP,GO:0016072,rRNA metabolic process,NA,NA,NA,4.45e-7,5.71e-6,NA
BP,GO:0006163,purine nucleotide metabolic process,NA,NA,NA,4.46e-7,NA,NA
BP,GO:0009060,aerobic respiration,NA,NA,NA,5.1e-7,0.010025658,NA
BP,GO:0009205,purine ribonucleoside triphosphate metabolic process,NA,NA,NA,6.56e-7,NA,NA
BP,GO:0009144,purine nucleoside triphosphate metabolic process,NA,NA,NA,6.74e-7,NA,NA
BP,GO:0019646,aerobic electron transport chain,NA,NA,NA,7.56e-7,0.026463081,NA
BP,GO:0006364,rRNA processing,NA,NA,NA,8.62e-7,5.13e-6,NA
BP,GO:0009199,ribonucleoside triphosphate metabolic process,NA,NA,NA,8.97e-7,NA,NA
BP,GO:0042773,ATP synthesis coupled electron transport,NA,NA,NA,9.16e-7,0.015340046,NA
BP,GO:0009259,ribonucleotide metabolic process,NA,NA,NA,9.37e-7,NA,NA
CC,GO:0044391,ribosomal subunit,NA,NA,NA,1.09e-6,4.05e-6,NA
BP,GO:0055086,nucleobase-containing small molecule metabolic process,NA,NA,NA,1.23e-6,NA,NA
BP,GO:0009260,ribonucleotide biosynthetic process,NA,NA,NA,1.89e-6,0.034493371,NA
BP,GO:0046034,ATP metabolic process,NA,NA,NA,2.3e-6,NA,NA
BP,GO:0019693,ribose phosphate metabolic process,NA,NA,NA,2.32e-6,NA,NA
BP,GO:0016071,mRNA metabolic process,NA,NA,NA,2.89e-6,0.001282429,NA
BP,GO:0140053,mitochondrial gene expression,NA,NA,NA,3.42e-6,3.59e-5,NA
BP,GO:0009165,nucleotide biosynthetic process,NA,NA,NA,3.5e-6,0.033991511,NA
BP,GO:0007005,mitochondrion organization,NA,NA,NA,3.65e-6,0.019403584,NA
BP,GO:0046390,ribose phosphate biosynthetic process,NA,NA,NA,3.83e-6,0.041410539,NA
MF,GO:0140098,"catalytic activity, acting on RNA",NA,NA,NA,3.98e-6,0.023443393,NA
MF,GO:0016874,ligase activity,NA,NA,NA,4.54e-6,NA,NA
BP,GO:0009142,nucleoside triphosphate biosynthetic process,NA,NA,NA,5.32e-6,0.021559919,NA
CC,GO:1990204,oxidoreductase complex,NA,NA,NA,5.68e-6,0.013891339,NA
BP,GO:0006399,tRNA metabolic process,NA,NA,NA,6.77e-6,0.01027449,NA
CC,GO:0005681,spliceosomal complex,NA,NA,NA,7.9e-6,2.33e-5,NA
BP,GO:0015980,energy derivation by oxidation of organic compounds,NA,NA,NA,8.76e-6,0.004631452,NA
BP,GO:0022904,respiratory electron transport chain,NA,NA,NA,1.12e-5,0.025801178,NA
BP,GO:0009150,purine ribonucleotide metabolic process,NA,NA,NA,1.44e-5,NA,NA
BP,GO:0007006,mitochondrial membrane organization,NA,NA,NA,1.47e-5,0.024489047,NA
CC,GO:0005839,proteasome core complex,NA,NA,NA,1.71e-5,0.023989013,NA
BP,GO:0022900,electron transport chain,NA,NA,NA,2e-5,0.041587486,NA
BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,NA,NA,NA,2.2e-5,NA,NA
BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,NA,NA,NA,2.2e-5,NA,NA
BP,GO:0009152,purine ribonucleotide biosynthetic process,NA,NA,NA,2.38e-5,NA,NA
MF,GO:0004879,nuclear receptor activity,NA,NA,NA,2.82e-5,4.04405e-4,NA
MF,GO:0098531,ligand-activated transcription factor activity,NA,NA,NA,2.82e-5,4.04405e-4,NA
BP,GO:0006164,purine nucleotide biosynthetic process,NA,NA,NA,2.92e-5,NA,NA
BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,NA,NA,NA,3.06e-5,NA,NA
CC,GO:0071013,catalytic step 2 spliceosome,NA,NA,NA,3.92e-5,6.08324e-4,NA
CC,GO:0005758,mitochondrial intermembrane space,NA,NA,NA,4.1e-5,NA,NA
CC,GO:0031970,organelle envelope lumen,NA,NA,NA,4.1e-5,NA,NA
BP,GO:0006754,ATP biosynthetic process,NA,NA,NA,4.39e-5,NA,NA
BP,GO:0000375,"RNA splicing, via transesterification reactions",NA,NA,NA,4.74e-5,1.28578e-4,NA
BP,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",NA,NA,NA,4.74e-5,1.28578e-4,NA
BP,GO:0000398,"mRNA splicing, via spliceosome",NA,NA,NA,4.74e-5,1.28578e-4,NA
BP,GO:0006457,protein folding,NA,NA,NA,4.95e-5,0.009840328,1.27376e-4
BP,GO:0072521,purine-containing compound metabolic process,NA,NA,NA,5.05e-5,NA,NA
BP,GO:0061448,connective tissue development,NA,NA,NA,5.68e-5,0.008212583,NA
BP,GO:0006974,DNA damage response,NA,NA,NA,5.89e-5,NA,NA
CC,GO:0019774,"proteasome core complex, beta-subunit complex",NA,NA,NA,6.26e-5,0.042388292,NA
MF,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,NA,NA,NA,6.38e-5,0.010172292,NA
BP,GO:0006520,amino acid metabolic process,NA,NA,NA,6.55e-5,NA,NA
MF,GO:0016859,cis-trans isomerase activity,NA,NA,NA,7.41e-5,0.017379611,NA
CC,GO:0098800,inner mitochondrial membrane protein complex,NA,NA,NA,9.12e-5,0.004072294,NA
BP,GO:0019362,pyridine nucleotide metabolic process,NA,NA,NA,1.14928e-4,NA,NA
BP,GO:0046496,nicotinamide nucleotide metabolic process,NA,NA,NA,1.14928e-4,NA,NA
BP,GO:0015986,proton motive force-driven ATP synthesis,NA,NA,NA,1.51577e-4,0.043302483,NA
CC,GO:0015934,large ribosomal subunit,NA,NA,NA,1.53652e-4,1.17088e-4,NA
CC,GO:0120114,Sm-like protein family complex,NA,NA,NA,1.64845e-4,1.9453e-4,NA
MF,GO:0004812,aminoacyl-tRNA ligase activity,NA,NA,NA,1.66021e-4,NA,NA
MF,GO:0016875,"ligase activity, forming carbon-oxygen bonds",NA,NA,NA,1.66021e-4,NA,NA
BP,GO:0070972,protein localization to endoplasmic reticulum,NA,NA,NA,1.94855e-4,NA,NA
BP,GO:0072527,pyrimidine-containing compound metabolic process,NA,NA,NA,2.40975e-4,0.017167495,NA
MF,GO:0016776,"phosphotransferase activity, phosphate group as acceptor",NA,NA,NA,2.57979e-4,0.003194307,NA
BP,GO:0140694,non-membrane-bounded organelle assembly,NA,NA,NA,2.5935e-4,0.04249234,0.044056862
MF,GO:0016410,N-acyltransferase activity,NA,NA,NA,2.76706e-4,0.010855258,NA
BP,GO:0071826,protein-RNA complex organization,NA,NA,NA,2.82474e-4,0.001971311,NA
CC,GO:0097526,spliceosomal tri-snRNP complex,NA,NA,NA,2.86731e-4,0.008405382,NA
BP,GO:0072522,purine-containing compound biosynthetic process,NA,NA,NA,3.19457e-4,NA,NA
BP,GO:0018208,peptidyl-proline modification,NA,NA,NA,3.24536e-4,0.019075192,0.042631995
CC,GO:0045259,proton-transporting ATP synthase complex,NA,NA,NA,3.28922e-4,NA,NA
BP,GO:0072524,pyridine-containing compound metabolic process,NA,NA,NA,3.40654e-4,NA,NA
BP,GO:0033108,mitochondrial respiratory chain complex assembly,NA,NA,NA,3.5469e-4,NA,NA
BP,GO:0006839,mitochondrial transport,NA,NA,NA,3.66485e-4,NA,NA
MF,GO:0005501,retinoid binding,NA,NA,NA,3.8889e-4,NA,NA
MF,GO:0019840,isoprenoid binding,NA,NA,NA,3.8889e-4,NA,NA
CC,GO:0030964,NADH dehydrogenase complex,NA,NA,NA,4.00967e-4,NA,NA
CC,GO:0045271,respiratory chain complex I,NA,NA,NA,4.00967e-4,NA,NA
BP,GO:0043039,tRNA aminoacylation,NA,NA,NA,4.25083e-4,NA,NA
BP,GO:0007007,inner mitochondrial membrane organization,NA,NA,NA,4.42424e-4,0.030288132,NA
CC,GO:0097525,spliceosomal snRNP complex,NA,NA,NA,4.67792e-4,0.001238738,NA
BP,GO:0006418,tRNA aminoacylation for protein translation,NA,NA,NA,5.46836e-4,NA,NA
MF,GO:0140101,"catalytic activity, acting on a tRNA",NA,NA,NA,5.58812e-4,NA,NA
BP,GO:0043038,amino acid activation,NA,NA,NA,5.77771e-4,NA,NA
CC,GO:0030532,small nuclear ribonucleoprotein complex,NA,NA,NA,6.15977e-4,0.001460526,NA
MF,GO:0051287,NAD binding,NA,NA,NA,6.36353e-4,NA,NA
BP,GO:0002063,chondrocyte development,NA,NA,NA,6.39539e-4,NA,NA
BP,GO:0022618,protein-RNA complex assembly,NA,NA,NA,6.53536e-4,0.003254135,NA
BP,GO:0090151,establishment of protein localization to mitochondrial membrane,NA,NA,NA,6.9915e-4,0.015672577,NA
MF,GO:0016407,acetyltransferase activity,NA,NA,NA,7.32378e-4,NA,NA
BP,GO:0045892,negative regulation of DNA-templated transcription,NA,NA,NA,7.78552e-4,8.15235e-4,NA
BP,GO:1902679,negative regulation of RNA biosynthetic process,NA,NA,NA,7.78552e-4,8.15235e-4,NA
BP,GO:0006281,DNA repair,NA,NA,NA,7.81838e-4,NA,NA
BP,GO:0032870,cellular response to hormone stimulus,NA,NA,NA,7.99537e-4,0.032760192,NA
BP,GO:0016054,organic acid catabolic process,NA,NA,NA,8.11257e-4,NA,NA
BP,GO:0046395,carboxylic acid catabolic process,NA,NA,NA,8.11257e-4,NA,NA
BP,GO:0072594,establishment of protein localization to organelle,NA,NA,NA,8.42661e-4,0.035764047,NA
BP,GO:0044282,small molecule catabolic process,NA,NA,NA,8.54525e-4,NA,NA
BP,GO:0009968,negative regulation of signal transduction,NA,NA,NA,8.58798e-4,NA,NA
BP,GO:1901605,alpha-amino acid metabolic process,NA,NA,NA,8.92635e-4,NA,NA
BP,GO:0097250,mitochondrial respirasome assembly,NA,NA,NA,9.26109e-4,NA,NA
BP,GO:0000413,protein peptidyl-prolyl isomerization,NA,NA,NA,9.90911e-4,0.015659523,NA
BP,GO:0042273,ribosomal large subunit biogenesis,NA,NA,NA,0.001029496,9.50995e-4,NA
BP,GO:0051604,protein maturation,NA,NA,NA,0.001104467,NA,3.28469e-4
CC,GO:0030684,preribosome,NA,NA,NA,0.001120548,0.006172416,NA
BP,GO:0010648,negative regulation of cell communication,NA,NA,NA,0.001126879,NA,NA
BP,GO:0023057,negative regulation of signaling,NA,NA,NA,0.001126879,NA,NA
BP,GO:0006220,pyrimidine nucleotide metabolic process,NA,NA,NA,0.001150386,0.026357177,NA
BP,GO:0072528,pyrimidine-containing compound biosynthetic process,NA,NA,NA,0.001150386,0.026357177,NA
CC,GO:0097346,INO80-type complex,NA,NA,NA,0.001164227,NA,NA
BP,GO:0032259,methylation,NA,NA,NA,0.001167522,0.006090248,NA
CC,GO:0005730,nucleolus,NA,NA,NA,0.001206047,1.36014e-4,NA
BP,GO:0051253,negative regulation of RNA metabolic process,NA,NA,NA,0.001251569,0.001795918,0.030166583
BP,GO:0000154,rRNA modification,NA,NA,NA,0.001258127,0.032122979,NA
CC,GO:0022624,proteasome accessory complex,NA,NA,NA,0.001274121,NA,NA
CC,GO:0015935,small ribosomal subunit,NA,NA,NA,0.001325776,0.007327663,NA
MF,GO:0044183,protein folding chaperone,NA,NA,NA,0.001417005,NA,0.008367807
CC,GO:0000785,chromatin,NA,NA,NA,0.001423273,NA,0.023226218
MF,GO:0019205,nucleobase-containing compound kinase activity,NA,NA,NA,0.00142922,NA,NA
BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",NA,NA,NA,0.001546223,NA,NA
BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",NA,NA,NA,0.001546223,NA,NA
BP,GO:0045944,positive regulation of transcription by RNA polymerase II,NA,NA,NA,0.001596976,0.011631939,0.002203112
BP,GO:0002062,chondrocyte differentiation,NA,NA,NA,0.001703053,0.049741302,NA
BP,GO:0009725,response to hormone,NA,NA,NA,0.001708977,0.032657985,NA
BP,GO:0051246,regulation of protein metabolic process,NA,NA,NA,0.00170977,NA,NA
MF,GO:0051087,protein-folding chaperone binding,NA,NA,NA,0.001759103,1.91523e-4,NA
BP,GO:0170039,proteinogenic amino acid metabolic process,NA,NA,NA,0.001819934,NA,NA
BP,GO:0045047,protein targeting to ER,NA,NA,NA,0.001854131,NA,NA
BP,GO:0034655,nucleobase-containing compound catabolic process,NA,NA,NA,0.001866591,NA,NA
CC,GO:0070069,cytochrome complex,NA,NA,NA,0.001877213,0.002230653,NA
MF,GO:0017069,snRNA binding,NA,NA,NA,0.001937719,3.82253e-4,NA
MF,GO:0004550,nucleoside diphosphate kinase activity,NA,NA,NA,0.001938081,0.010197881,NA
BP,GO:0006221,pyrimidine nucleotide biosynthetic process,NA,NA,NA,0.002073243,0.019543888,NA
BP,GO:0042255,ribosome assembly,NA,NA,NA,0.002073243,0.005001502,NA
BP,GO:0031167,rRNA methylation,NA,NA,NA,0.002184803,NA,NA
CC,GO:0005741,mitochondrial outer membrane,NA,NA,NA,0.002246721,0.023739902,NA
MF,GO:0140102,"catalytic activity, acting on a rRNA",NA,NA,NA,0.002262685,NA,NA
BP,GO:0043414,macromolecule methylation,NA,NA,NA,0.002265705,0.030478304,NA
BP,GO:0062197,cellular response to chemical stress,NA,NA,NA,0.002286803,NA,NA
BP,GO:0070585,protein localization to mitochondrion,NA,NA,NA,0.002287882,0.005403159,NA
BP,GO:0072655,establishment of protein localization to mitochondrion,NA,NA,NA,0.002287882,0.005403159,NA
BP,GO:0043401,steroid hormone receptor signaling pathway,NA,NA,NA,0.002329164,NA,NA
MF,GO:0019843,rRNA binding,NA,NA,NA,0.002406794,0.005460802,NA
BP,GO:0052548,regulation of endopeptidase activity,NA,NA,NA,0.002449108,NA,0.014845294
BP,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,NA,NA,NA,0.002478137,0.003183377,NA
MF,GO:0016018,cyclosporin A binding,NA,NA,NA,0.002544179,0.031807215,NA
MF,GO:0016863,"intramolecular oxidoreductase activity, transposing C=C bonds",NA,NA,NA,0.002544179,NA,NA
BP,GO:0072599,establishment of protein localization to endoplasmic reticulum,NA,NA,NA,0.00266104,NA,NA
MF,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",NA,NA,NA,0.002771553,0.007096644,NA
MF,GO:0019842,vitamin binding,NA,NA,NA,0.002863095,NA,0.006554927
CC,GO:0070603,SWI/SNF superfamily-type complex,NA,NA,NA,0.002870637,NA,NA
BP,GO:0030518,nuclear receptor-mediated steroid hormone signaling pathway,NA,NA,NA,0.002892,NA,NA
CC,GO:0046540,U4/U6 x U5 tri-snRNP complex,NA,NA,NA,0.002922463,NA,NA
CC,GO:0016592,mediator complex,NA,NA,NA,0.003029417,NA,0.014929142
BP,GO:0008033,tRNA processing,NA,NA,NA,0.003070332,NA,NA
BP,GO:0170033,L-amino acid metabolic process,NA,NA,NA,0.003106682,NA,NA
MF,GO:0016741,"transferase activity, transferring one-carbon groups",NA,NA,NA,0.003150388,0.01258931,NA
BP,GO:0006605,protein targeting,NA,NA,NA,0.003321337,0.033150609,NA
BP,GO:0044283,small molecule biosynthetic process,NA,NA,NA,0.003418519,0.026725813,0.002447084
BP,GO:0034109,homotypic cell-cell adhesion,NA,NA,NA,0.003526285,0.006074665,NA
BP,GO:0046031,ADP metabolic process,NA,NA,NA,0.003574554,NA,NA
CC,GO:0016469,proton-transporting two-sector ATPase complex,NA,NA,NA,0.003631747,NA,NA
BP,GO:0021953,central nervous system neuron differentiation,NA,NA,NA,0.003665268,0.049262846,NA
MF,GO:0008168,methyltransferase activity,NA,NA,NA,0.003817869,0.008126,NA
MF,GO:1901618,organic hydroxy compound transmembrane transporter activity,NA,NA,NA,0.00416371,5.4e-6,NA
BP,GO:0001666,response to hypoxia,NA,NA,NA,0.004199931,NA,0.031142772
BP,GO:0009185,ribonucleoside diphosphate metabolic process,NA,NA,NA,0.004200813,NA,NA
BP,GO:0141193,nuclear receptor-mediated signaling pathway,NA,NA,NA,0.004200813,0.021559919,NA
CC,GO:0030137,COPI-coated vesicle,NA,NA,NA,0.004208186,NA,NA
MF,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",NA,NA,NA,0.004302681,NA,NA
MF,GO:0070403,NAD+ binding,NA,NA,NA,0.004302681,NA,NA
BP,GO:0034198,cellular response to amino acid starvation,NA,NA,NA,0.004317817,NA,NA
MF,GO:0003724,RNA helicase activity,NA,NA,NA,0.00440547,NA,NA
MF,GO:0008186,"ATP-dependent activity, acting on RNA",NA,NA,NA,0.00440547,NA,NA
BP,GO:0009135,purine nucleoside diphosphate metabolic process,NA,NA,NA,0.004457085,NA,NA
BP,GO:0009179,purine ribonucleoside diphosphate metabolic process,NA,NA,NA,0.004457085,NA,NA
BP,GO:0042060,wound healing,NA,NA,NA,0.004531038,0.00188337,NA
BP,GO:0006002,fructose 6-phosphate metabolic process,NA,NA,NA,0.004674025,NA,NA
BP,GO:0031033,myosin filament organization,NA,NA,NA,0.004674025,NA,NA
BP,GO:0051131,chaperone-mediated protein complex assembly,NA,NA,NA,0.004674025,6.56067e-4,NA
CC,GO:0019867,outer membrane,NA,NA,NA,0.004729394,0.023309425,NA
CC,GO:0031968,organelle outer membrane,NA,NA,NA,0.004729394,0.023309425,NA
MF,GO:0002161,aminoacyl-tRNA editing activity,NA,NA,NA,0.004803685,NA,NA
BP,GO:0021514,ventral spinal cord interneuron differentiation,NA,NA,NA,0.004829203,0.001627449,NA
BP,GO:0036293,response to decreased oxygen levels,NA,NA,NA,0.004980408,NA,0.032408245
MF,GO:0001786,phosphatidylserine binding,NA,NA,NA,0.005021378,NA,NA
MF,GO:0003707,nuclear steroid receptor activity,NA,NA,NA,0.005021378,NA,NA
BP,GO:0006626,protein targeting to mitochondrion,NA,NA,NA,0.005090557,0.027503314,NA
BP,GO:0010257,NADH dehydrogenase complex assembly,NA,NA,NA,0.005112495,NA,NA
BP,GO:0032981,mitochondrial respiratory chain complex I assembly,NA,NA,NA,0.005112495,NA,NA
BP,GO:0048514,blood vessel morphogenesis,NA,NA,NA,0.005122487,0.01843748,NA
MF,GO:0016796,"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",NA,NA,NA,0.00517174,NA,NA
BP,GO:0006641,triglyceride metabolic process,NA,NA,NA,0.005201819,0.016207488,NA
BP,GO:0019318,hexose metabolic process,NA,NA,NA,0.00520679,NA,NA
BP,GO:0042274,ribosomal small subunit biogenesis,NA,NA,NA,0.005383136,9.82222e-4,NA
BP,GO:0006739,NADP metabolic process,NA,NA,NA,0.00542611,0.037974915,NA
BP,GO:0010563,negative regulation of phosphorus metabolic process,NA,NA,NA,0.00542611,NA,NA
BP,GO:0045936,negative regulation of phosphate metabolic process,NA,NA,NA,0.00542611,NA,NA
BP,GO:0046033,AMP metabolic process,NA,NA,NA,0.00542611,0.037974915,NA
MF,GO:0050145,nucleoside monophosphate kinase activity,NA,NA,NA,0.005609708,0.038246688,NA
BP,GO:0051168,nuclear export,NA,NA,NA,0.005926733,NA,NA
BP,GO:1901292,nucleoside phosphate catabolic process,NA,NA,NA,0.006052556,NA,NA
BP,GO:1990928,response to amino acid starvation,NA,NA,NA,0.006236613,NA,NA
CC,GO:0005838,proteasome regulatory particle,NA,NA,NA,0.006299139,NA,NA
BP,GO:0009132,nucleoside diphosphate metabolic process,NA,NA,NA,0.006451948,NA,NA
MF,GO:0008173,RNA methyltransferase activity,NA,NA,NA,0.006644104,NA,NA
BP,GO:0000387,spliceosomal snRNP assembly,NA,NA,NA,0.006688622,0.00208832,NA
BP,GO:0009220,pyrimidine ribonucleotide biosynthetic process,NA,NA,NA,0.006688622,NA,NA
BP,GO:1903829,positive regulation of protein localization,NA,NA,NA,0.006717627,0.005388108,NA
BP,GO:0006638,neutral lipid metabolic process,NA,NA,NA,0.006757621,5.06586e-4,NA
BP,GO:0043409,negative regulation of MAPK cascade,NA,NA,NA,0.006862263,NA,0.001620957
BP,GO:0042168,heme metabolic process,NA,NA,NA,0.006872062,NA,NA
MF,GO:0008649,rRNA methyltransferase activity,NA,NA,NA,0.006907463,NA,NA
MF,GO:0019200,carbohydrate kinase activity,NA,NA,NA,0.006948665,NA,NA
BP,GO:0021515,cell differentiation in spinal cord,NA,NA,NA,0.007011371,6.23699e-4,NA
BP,GO:0006090,pyruvate metabolic process,NA,NA,NA,0.007036953,NA,NA
BP,GO:0061061,muscle structure development,NA,NA,NA,0.007037555,NA,NA
BP,GO:0019364,pyridine nucleotide catabolic process,NA,NA,NA,0.007237126,NA,NA
BP,GO:0072526,pyridine-containing compound catabolic process,NA,NA,NA,0.007237126,NA,NA
CC,GO:0005684,U2-type spliceosomal complex,NA,NA,NA,0.007342254,0.00104539,NA
BP,GO:0016055,Wnt signaling pathway,NA,NA,NA,0.007537286,NA,NA
CC,GO:0016604,nuclear body,NA,NA,NA,0.00796721,NA,NA
BP,GO:0020027,hemoglobin metabolic process,NA,NA,NA,0.008015924,NA,0.032497454
BP,GO:0061041,regulation of wound healing,NA,NA,NA,0.008015924,0.010103913,NA
BP,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,NA,NA,NA,0.008015924,NA,NA
BP,GO:0001933,negative regulation of protein phosphorylation,NA,NA,NA,0.008034806,NA,NA
BP,GO:0006206,pyrimidine nucleobase metabolic process,NA,NA,NA,0.008034806,0.008714435,NA
BP,GO:0006570,tyrosine metabolic process,NA,NA,NA,0.008034806,NA,NA
BP,GO:0042326,negative regulation of phosphorylation,NA,NA,NA,0.008034806,NA,NA
BP,GO:1901207,regulation of heart looping,NA,NA,NA,0.008034806,NA,NA
BP,GO:1902807,negative regulation of cell cycle G1/S phase transition,NA,NA,NA,0.008034806,0.008714435,NA
BP,GO:1903053,regulation of extracellular matrix organization,NA,NA,NA,0.008034806,NA,NA
