ONTOLOGY,ID,Description,pvalue_ASG_liver_AF,pvalue_ASG_liver_AR,pvalue_ASG_liver_FR,pvalue_DEG_liver_AF,pvalue_DEG_liver_AR,pvalue_DEG_liver_FR
BP,GO:0006958,complement activation classical pathway,0.048913171,NA,0.044168199,NA,NA,NA
BP,GO:0032868,response to insulin,0.049312891,0.021481139,NA,0.004965534,6.84507e-4,0.035099881
BP,GO:0048916,posterior lateral line development,0.049541129,NA,0.011382621,NA,NA,NA
BP,GO:0071692,protein localization to extracellular region,0.049775638,NA,NA,NA,NA,0.01609829
BP,GO:0090150,establishment of protein localization to membrane,0.049913168,NA,0.041907064,NA,NA,NA
BP,GO:0170039,proteinogenic amino acid metabolic process,0.049913168,0.005520769,0.001030636,6.17e-6,1.56e-6,NA
CC,GO:0005777,peroxisome,1.34e-5,1.20496e-4,0.021017732,0.02296128,0.01764417,NA
CC,GO:0042579,microbody,1.34e-5,1.20496e-4,0.021017732,0.02296128,0.01764417,NA
CC,GO:0070971,endoplasmic reticulum exit site,8.58e-5,0.003247442,NA,NA,NA,NA
CC,GO:0012507,ER to Golgi transport vesicle membrane,1.13165e-4,2.8285e-4,NA,NA,NA,NA
CC,GO:0030662,coated vesicle membrane,8.51088e-4,6.32343e-4,0.049088581,NA,NA,NA
CC,GO:0099738,cell cortex region,8.5793e-4,0.003247442,NA,NA,NA,NA
CC,GO:0030658,transport vesicle membrane,8.66498e-4,0.022478208,NA,NA,NA,NA
CC,GO:0032806,carboxy-terminal domain protein kinase complex,0.002388925,0.001112881,0.021446384,NA,NA,NA
CC,GO:0030127,COPII vesicle coat,0.003786602,0.015852163,NA,NA,NA,NA
CC,GO:0030135,coated vesicle,0.004020268,5.84892e-4,NA,NA,NA,NA
CC,GO:0046930,pore complex,0.004657331,NA,0.029715542,NA,NA,NA
CC,GO:0030134,COPII-coated ER to Golgi transport vesicle,0.004947326,0.007207134,NA,NA,NA,NA
CC,GO:0032045,guanyl-nucleotide exchange factor complex,0.005653143,NA,0.032710662,NA,NA,NA
CC,GO:0019867,outer membrane,0.009155591,NA,0.001339461,0.045726139,NA,NA
CC,GO:0031968,organelle outer membrane,0.009155591,NA,0.001339461,0.045726139,NA,NA
CC,GO:0044545,NSL complex,0.010991703,NA,NA,0.019247214,0.035443208,NA
CC,GO:0005643,nuclear pore,0.011103539,NA,NA,NA,NA,NA
CC,GO:0005802,trans-Golgi network,0.011865619,0.021187893,7.38557e-4,NA,NA,NA
CC,GO:0032588,trans-Golgi network membrane,0.012751834,0.006240991,0.005281481,NA,NA,NA
CC,GO:0030027,lamellipodium,0.013483593,NA,NA,NA,NA,NA
CC,GO:0005579,membrane attack complex,0.01360928,NA,0.016571528,NA,0.049880077,NA
CC,GO:0005741,mitochondrial outer membrane,0.013821069,NA,8.52754e-4,0.015880619,NA,NA
CC,GO:0000407,phagophore assembly site,0.014637793,0.042329161,NA,NA,NA,NA
CC,GO:0030120,vesicle coat,0.014872477,0.01880467,NA,NA,NA,NA
CC,GO:1902562,H4 histone acetyltransferase complex,0.018936636,0.037039208,NA,NA,NA,NA
CC,GO:0031252,cell leading edge,0.019129889,NA,NA,NA,NA,NA
CC,GO:0005938,cell cortex,0.02095688,NA,NA,NA,NA,NA
CC,GO:0001726,ruffle,0.02104642,0.025501217,NA,NA,NA,NA
CC,GO:0000118,histone deacetylase complex,0.021699473,NA,NA,NA,NA,NA
CC,GO:0030133,transport vesicle,0.028925669,NA,NA,NA,NA,NA
CC,GO:0016471,vacuolar proton-transporting V-type ATPase complex,0.031593875,NA,NA,NA,NA,NA
CC,GO:1904949,ATPase complex,0.033016544,NA,NA,3.30028e-4,0.001760752,0.037601442
CC,GO:0044232,organelle membrane contact site,0.036171651,NA,0.032710662,NA,NA,NA
CC,GO:0072686,mitotic spindle,0.039953094,NA,NA,0.007855508,9.41e-6,NA
CC,GO:0000123,histone acetyltransferase complex,0.042614909,0.047540746,NA,NA,NA,NA
CC,GO:0098791,Golgi apparatus subcompartment,0.042721576,0.019937403,2.44e-5,NA,NA,NA
MF,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,2.54583e-4,0.043356895,NA,8.71336e-4,0.007760778,NA
MF,GO:0004683,calcium/calmodulin-dependent protein kinase activity,3.43686e-4,1.0714e-4,0.016295231,NA,NA,NA
MF,GO:0051213,dioxygenase activity,3.49904e-4,0.047904017,NA,9.91e-5,0.001806163,NA
MF,GO:0052745,inositol phosphate phosphatase activity,7.81053e-4,0.002192444,NA,0.047080375,0.003037121,NA
MF,GO:0016835,carbon-oxygen lyase activity,0.001131904,NA,NA,0.008516421,0.002224564,NA
MF,GO:0035091,phosphatidylinositol binding,0.001691318,0.004441696,0.010790607,0.038520712,0.031772557,NA
MF,GO:0140993,histone modifying activity,0.002169585,NA,NA,0.002706799,0.005252247,NA
MF,GO:0016829,lyase activity,0.002539147,NA,0.031087699,3.42484e-4,0.002179557,NA
MF,GO:0030276,clathrin binding,0.002810303,0.001073987,0.002398517,NA,NA,NA
MF,GO:0050660,flavin adenine dinucleotide binding,0.003935053,0.003588857,0.003495648,0.038160398,0.009567391,NA
MF,GO:0016836,hydro-lyase activity,0.004395656,NA,NA,0.03767587,0.008675368,NA
MF,GO:0032182,ubiquitin-like protein binding,0.00441252,0.004734684,NA,0.03103838,NA,NA
MF,GO:0141052,histone H3 demethylase activity,0.0049503460000000004,NA,NA,NA,NA,NA
MF,GO:0009931,calcium-dependent protein serine/threonine kinase activity,0.005290985,0.037194454,0.009211477,NA,NA,NA
MF,GO:0032452,histone demethylase activity,0.005721974,NA,NA,NA,NA,NA
MF,GO:0140457,protein demethylase activity,0.005721974,NA,NA,NA,NA,NA
MF,GO:0071949,FAD binding,0.005935728,3.96122e-4,0.00411362,NA,0.042582588,NA
MF,GO:0106310,protein serine kinase activity,0.006639884,NA,NA,0.00226589,NA,NA
MF,GO:0016671,oxidoreductase activity acting on a sulfur group of donors disulfide as acceptor,0.014338906,0.008560602,NA,NA,NA,NA
MF,GO:0003729,mRNA binding,0.015798099,0.033549972,0.011727743,0.017422933,NA,NA
MF,GO:0043130,ubiquitin binding,0.017593169,NA,NA,0.045902196,NA,NA
MF,GO:0032451,demethylase activity,0.01853867,NA,NA,NA,NA,NA
MF,GO:0016853,isomerase activity,0.018573041,0.047385904,NA,NA,0.025606674,NA
MF,GO:0004842,ubiquitin-protein transferase activity,0.02054227,NA,NA,NA,NA,NA
